metric_name,value,unit,source_type,source_title,citation_url,confidence,date_range,category,notes
Baseline GHG emissions,927.9,MtCO2e,Research,Viet Nam NDC 2022: 2030 BAU,https://unfccc.int/sites/default/files/NDC/2022-11/Viet%20Nam_NDC_2022_Eng.pdf,High,2030 BAU,Market,2030 BAU projection; used to scale absolute emissions outputs.
Reference nominal GDP,476.39,USD bn,Research,World Bank: Viet Nam GDP 2024,https://data.worldbank.org/country/viet-nam?locations=VN&name_desc=false,High,2024-2026,Macro,Used only to translate percentage GDP effects into an indicative USD scale.
Anchor carbon price,15.0,USD/tCO2e,Research,VnExpress summary of IPSS-UNDP study,https://vnexpress.net/ap-thue-15-usd-moi-tan-co2-co-the-giup-viet-nam-giam-3-phat-thai-5096991.html,Medium,2024-2026,Policy,Calibration point reported by article.
Anchor emissions reduction,0.029,% of BAU,Research,VnExpress summary of IPSS-UNDP study,https://vnexpress.net/ap-thue-15-usd-moi-tan-co2-co-the-giup-viet-nam-giam-3-phat-thai-5096991.html,Medium,2030 BAU,Emissions,2.9% reduction at USD15/tCO2e.
Anchor GDP drag,0.008,% of GDP,Research,VnExpress summary of IPSS-UNDP study,https://vnexpress.net/ap-thue-15-usd-moi-tan-co2-co-the-giup-viet-nam-giam-3-phat-thai-5096991.html,Medium,2024-2026,Macro,GDP could decline 0.8% without suitable offsets.
Anchor trade drag,0.009,% vs baseline,Research,VnExpress summary of IPSS-UNDP study,https://vnexpress.net/ap-thue-15-usd-moi-tan-co2-co-the-giup-viet-nam-giam-3-phat-thai-5096991.html,Medium,2024-2026,Macro,Exports-imports reported down around 0.9%.
Anchor investment drag,0.013,% vs baseline,Research,VnExpress summary of IPSS-UNDP study,https://vnexpress.net/ap-thue-15-usd-moi-tan-co2-co-the-giup-viet-nam-giam-3-phat-thai-5096991.html,Medium,2024-2026,Macro,Investment reported down around 1.3%.
Anchor government revenue index uplift,0.0041,% vs baseline,Research,VnExpress summary of IPSS-UNDP study,https://vnexpress.net/ap-thue-15-usd-moi-tan-co2-co-the-giup-viet-nam-giam-3-phat-thai-5096991.html,Low,2024-2026,Fiscal,"Article says government revenue rises 0.41%; interpreted as a relative index, not percentage points of GDP."
Revenue recycling threshold,0.3,% of collected revenue,Research,VnExpress summary of IPSS-UNDP study,https://vnexpress.net/ap-thue-15-usd-moi-tan-co2-co-the-giup-viet-nam-giam-3-phat-thai-5096991.html,Medium,2024-2026,Equity,30% of proceeds can compensate the lowest-income 50% of households.
Bottom households potentially compensated,0.5,% of households,Research,VnExpress summary of IPSS-UNDP study,https://vnexpress.net/ap-thue-15-usd-moi-tan-co2-co-the-giup-viet-nam-giam-3-phat-thai-5096991.html,Medium,2024-2026,Equity,Coverage anchor at the 30% recycling threshold.
Efficiency benchmark,0.1,% energy efficiency gain,Research,VnExpress summary of IPSS-UNDP study,https://vnexpress.net/ap-thue-15-usd-moi-tan-co2-co-the-giup-viet-nam-giam-3-phat-thai-5096991.html,Medium,2024-2026,Policy,10% energy saving/efficiency package benchmark.
Efficiency GDP benefit at benchmark,0.01,% of GDP,Research,VnExpress summary of IPSS-UNDP study,https://vnexpress.net/ap-thue-15-usd-moi-tan-co2-co-the-giup-viet-nam-giam-3-phat-thai-5096991.html,Medium,2024-2026,Macro,Study reports 10% efficiency could raise GDP by 1%.
NDC unconditional reduction,146.3,MtCO2e,Research,Viet Nam NDC 2022,https://unfccc.int/sites/default/files/NDC/2022-11/Viet%20Nam_NDC_2022_Eng.pdf,High,2030 BAU,Target,15.8% below 2030 BAU.
NDC conditional reduction,403.7,MtCO2e,Research,Viet Nam NDC 2022,https://unfccc.int/sites/default/files/NDC/2022-11/Viet%20Nam_NDC_2022_Eng.pdf,High,2030 BAU,Target,43.5% below 2030 BAU with international support.
Pilot annual emissions quota,255.5,MtCO2e/year,Research,VnExpress: 511 MtCO2e over 2025-2026,https://vnexpress.net/ap-thue-15-usd-moi-tan-co2-co-the-giup-viet-nam-giam-3-phat-thai-5096991.html,Medium,2030 BAU,Coverage,Annualized from the two-year quota; used as a pilot coverage proxy.
Price response exponent,0.85,exponent,Model Input,Analyst assumption,,Low,2024-2026,Model,Allows diminishing response as carbon price rises; change in sensitivity analysis.
Efficiency-to-emissions pass-through,0.6,%,Model Input,Analyst assumption,,Low,2030 BAU,Model,Share of energy-efficiency gain assumed to translate into economy-wide GHG reduction.
Recycling GDP offset at threshold,0.25,% of carbon-price GDP drag,Model Input,Analyst assumption,,Low,2024-2026,Model,Directional offset only; not stated in the article.
